Gene ID,ID
SNORA58B,109617023
LOC101927847,101927847
LOC101927845,101927845
INPPL1,3636
IGF1R,3480
PPIP5K1,9677
PPIP5K2,23262
MIR6129,102465137
ENPP2,5168
MIR6127,102466615
ENPP1,5167
MIR6128,102465135
ENPP4,22875
MIR6125,102465133
ENPP3,5169
MIR6126,102465134
ENPP6,133121
ENPP5,59084
MIR6124,102466906
ENPP7,339221
SNORA59A,677885
SNORA59B,677882
LOC101927855,101927855
NDFIP2-AS1,100874208
DHDDS,79947
HTRA3,94031
HTRA4,203100
HTRA1,5654
DAPP1,27071
HTRA2,27429
LOC105376360,105376360
HULC,728655
ZNF350-AS1,101669766
CHCHD10,400916
IGF2R,3482
BSPRY,54836
LOC105376353,105376353
DIAPH2-AS1,10824
LOC101927881,101927881
LOC105376306,105376306
CA1,759
CA3,761
ZIC2,7546
CA2,760
ZIC3,7547
CA4,762
ZIC1,7545
MIR103A2,406896
CA7,766
MIR103A1,406895
CA6,765
CA9,768
CA8,767
MIR6165,102465141
SUN3,256979
SUN2,25777
SUN1,23353
ATP6AP1,537
ATP6AP2,10159
CAD,790
HUNK,30811
SUN5,140732
CAT,847
MIR103B2,100302282
MIR103B1,100302238
MSH2-OT1,644093
SHANK3,85358
SHANK2,22941
SHANK1,50944
DAPL1,92196
GACAT3,104797537
CBL,867
GACAT2,100287082
GACAT1,104326057
SV2C,22987
SV2B,9899
CBS,875
TBX22,50945
SV2A,9900
TBX21,30009
TBX20,57057
CLVS2,134829
CLVS1,157807
MIR6130,102466967
MIR6131,102465138
CCK,885
ZIC4,84107
ZIC5,85416
SUOX,6821
TBX19,9095
TBX18,9096
CD2,914
LOC105378979,105378979
TBX15,6913
CD4,920
CCS,9973
CD6,923
CD5,921
TBX10,347853
CD7,924
CD9,928
LOC100132287,100132287
MIR6134,102465140
MIR6132,102466616
MNX1-AS1,645249
MIR6133,102465139
MNX1-AS2,105375606
CDA,978
CLEC10A,10462
SCN11A,11280
HP09053,101929357
SSTR5-AS1,146336
CLEC11A,6320
HUS1,3364
CEL,1056
NUP93,9688
BCAN,63827
SCN10A,6336
BCAM,4059
HECW2,57520
HECW1,23072
SRFBP1,153443
SNORA50A,677830
NUP98,4928
SNORA50B,109616998
SNORA50C,677842
SNORA50D,109616958
CFB,629
CFD,1675
CFH,3075
CFI,3426
CFP,5199
RRP7A,27341
NUP85,79902
NUP88,4927
CGA,1081
MCAM,4162
CGN,57530
MCAT,27349
ZNF559-ZNF177,100529215
LOC100132249,100132249
TMEM225B,100289187
MOCS2,4338
MOCS3,27304
STON1,11037
CHM,1121
STON2,85439
FGD5-AS1,100505641
MCEE,84693
RRP12,23223
CIC,23152
RRP15,51018
ZIK1,284307
CT45A10,102723631
EDARADD,128178
MIR4659A,100616348
MIR4659B,100616372
ECRG4,84417
CIT,11113
PCOTH,542767
PLIN4,729359
PLIN3,10226
PLIN2,123
PLIN1,5346
RCCD1,91433
MOCS1,4337
PLIN5,440503
DCAF12L2,340578
DCAF12L1,139170
MIR4307HG,101927081
RASSF10,644943
RRP36,88745
CKB,1152
PAIP2,51247
ZIM2,23619
PAIP1,10605
ZIM3,114026
HIPK4,147746
BCHE,590
CKM,1158
ARHGEF9-IT1,100874355
MOCOS,55034
G0S2,50486
RRP1B,23076
HIPK1,204851
HIPK3,10114
HIPK2,28996
LOC100134868,100134868
HERC2P10,390561
HERC2P11,100996738
FOSB,2354
CLC,1178
TMEM229A,730130
MSX2P1,55545
TMEM229B,161145
DNM3OS,100628315
CLU,1191
MT1DP,326343
OIP5,11339
DIO1,1733
DIO2,1734
DIO3,1735
FAM91A1,157769
MTNR1A,4543
MTNR1B,4544
CNP,1267
GLUD1P2,414212
EDRF1-AS1,101927983
MIR10527,113218505
MIR10526,113218492
MIR10525,113218504
MIR10524,113218491
MIR10523,113218510
MIR10522,113218490
CD300LB,124599
CD300LD,100131439
CD300LF,146722
CD300LG,146894
MCL1,4170
TCEANC,170082
BCL9,607
UBOX5,22888
BCL6,604
CPD,1362
BCL3,602
GLUD1P3,2749
BCL2,596
CPE,1363
OSCP1,127700
CPM,1368
CPO,130749
MCM7,4176
COL14A1,7373
CPQ,10404
MCM8,84515
MCM9,254394
CPZ,8532
KBTBD13,390594
KBTBD12,166348
CEP170B,283638
OIT3,170392
CLEC12A-AS1,400002
DPRXP4,503645
CR2,1380
CR1,1378
GGPS1,9453
DIS3,22894
SGIP1,84251
LOC100506937,100506937
SAPCD2,89958
SAPCD1,401251
ST20-MTHFS,100528021
XCL2,6846
CRH,1392
MCM3,4172
XCL1,6375
MCM4,4173
MCM5,4174
MCM6,4175
CRK,1398
MCM2,4171
CRP,1401
CRX,1406
C1RL-AS1,283314
SELENOKP3,100287632
STOX2,56977
SVBP,374969
IL21R,50615
CSK,1445
BCO2,83875
BCO1,53630
STOX1,219736
SLC35A2,7355
SLC35A1,10559
ITGA9-AS1,101928153
SLC35A4,113829
SLC35A3,23443
CPPED1,55313
KBTBD11,9920
MAB21L3,126868
ASXL1,171023
MAB21L4,79919
GPC3-AS1,110806308
MAB21L1,4081
ASXL3,80816
CTH,1491
LIFR-AS1,100506495
MAB21L2,10586
ASXL2,55252
LOC100288254,100288254
BCOR,54880
DSG2-AS1,100652770
SLC35B3,51000
SLC35B2,347734
IL1RN,3557
SLC35B4,84912
LOC100506869,100506869
IL23R,149233
SLC35B1,10237
C14ORF93,60686
CALR4P,441884
SCAANT1,100861563
ARFIP2,23647
ARFIP1,27236
SLC35A5,55032
TANGO6,79613
IL1R1,3554
LOC100506858,100506858
IL1R2,7850
SLC35C2,51006
TANGO2,128989
SLC35C1,55343
MIR133A1HG,102723167
IL23A,51561
LINC00680-GUSBP4,106660613
SLC35D1,23169
SLC35D3,340146
SH2D2A,9047
SLC35D2,11046
MT1JP,4498
RNA5-8SN1,106632260
RNA5-8SN3,109910381
RNA5-8SN2,109864281
RNA5-8SN5,100008587
RNA5-8SN4,109864274
LOC101927908,101927908
XCR1,2829
SLC35E1,79939
SLC35E4,339665
SLC35E3,55508
LOC101927911,101927911
SH2D1A,4068
SH2D1B,117157
MT1IP,644314
LOC101927914,101927914
LOC101927915,101927915
LOC389199,389199
LOC101927919,101927919
IL6-AS1,541472
SLC35F6,54978
SLC35F3,148641
SLC35F2,54733
CAB39L,81617
SLC35F5,80255
SLC35F4,341880
SLC25A48-AS1,340074
MCUB,55013
SLC35F1,222553
SIPA1L2,57568
SIPA1L3,23094
MRPS31P5,100887750
TTC39C-AS1,102724246
SIPA1L1,26037
H2BC20P,337873
SOX5-AS1,101928471
SLC35G4,646000
SLC35G3,146861
SLC35G6,643664
LOC101927932,101927932
SLC35G5,83650
TALAM1,109136579
SLC35G2,80723
SLC35G1,159371
MIR105-2,406898
MIR105-1,406897
C1QTNF12,388581
AMER1,139285
AMER2,219287
AMER3,205147
RGPD6,729540
RGPD5,84220
RGPD8,727851
RGPD2,729857
AGAP2-AS1,100130776
RGPD1,400966
RGPD4,285190
RGPD3,653489
BEGAIN,57596
TCEAL8,90843
TCEAL7,56849
TCEAL6,158931
TCEAL5,340543
TCEAL4,79921
TCEAL3,85012
TCEAL2,140597
TCEAL1,9338
LOC101927948,101927948
TCEAL9,51186
SVIL,6840
LOC101927950,101927950
LOC101927954,101927954
SVIP,258010
SPCS3,60559
SPCS2,9789
SPCS1,28972
QPCT,25797
AP1B1P1,23782
SIPA1,6494
APOOP5,644649
LOC101927967,101927967
CLEC18C,283971
CLEC18B,497190
LOC101927960,101927960
CLEC18A,348174
OR5H15,403274
OR5H14,403273
CSKMT,751071
PBX1-AS1,100505795
FPGT,8790
FPGS,2356
CLEC19A,728276
SPECC1L,23384
TIMELESS,8914
LOC149684,149684
NUPR2,389493
NUPR1,26471
SNORA48B,109616969
CLEC16A,23274
PARM1-AS1,100507388
CAMSAP1,157922
CAMSAP2,23271
NPC1L1,29881
C14ORF28,122525
NAGPA-AS1,100507589
AMELX,265
AMELY,266
PNPT1,87178
CLEC17A,388512
LDLRAD4-AS1,100288122
CAMSAP3,57662
DAP,1611
DAO,1610
CLEC14A,161198
DBI,1622
PEG3-AS1,100169890
DBH,1621
DBP,1628
DBT,1629
SNORA41B,109617005
CTNNA2-AS1,101927987
STPG1,90529
STPG3,441476
STPG2,285555
SVOP,55530
DCD,117159
DCC,1630
STPG4,285051
DCK,1633
DCN,1634
C1QTNF9B,387911
ZAP70,7535
DCT,1638
C14ORF39,317761
DCX,1641
DNASE2,1777
DNASE1,1773
MIR1289-1,100302125
MIR1289-2,100302134
DDC,1644
CLEC12A,160364
CLEC12B,387837
SNORA1B,109617001
DDO,8528
DDN,23109
SNORA18,677805
SNORA19,641451
DDT,1652
ITPRIP-AS1,101927472
SNORA15,677803
SNORA12,677800
SNORA13,654322
SNORA10,574042
SNORA11,677799
LOC91450,91450
DEK,7913
DES,1674
RALGAPA1P1,26134
LIF-AS1,110806283
SNORA40,677822
NEXMIF,340533
SNORA3B,677826
SNORA3C,109616997
MIR4666A,100616308
MIR4666B,100847047
SNORA3A,619562
IL4I1,259307
SNORA38,677820
SNORA37,677819
SNORA35,677816
SNORA32,692063
SNORA33,594839
SNORA30,677813
SNORA31,677814
LOC101927691,101927691
LOC101927692,101927692
SNORA2C,677815
LOC101927690,101927690
SNORA2A,677793
SNORA2B,677794
AR,367
SNORA29,677812
SNORA27,619499
SNORA28,677811
SNORA25,684959
SNORA26,677810
SNORA23,677808
SNORA24,677809
SNORA21,619505
SNORA22,677807
CGGBP1,8545
SNORA20,677806
GRID2IP,392862
SNORA61,677838
SNORA62,6044
SNORA60,677837
DHH,50846
ACTL7A,10881
ACTL7B,10880
FPR1,2357
FPR3,2359
FPR2,2358
SNORA5B,677795
C2CD4D-AS1,100132111
SNORA5C,677796
C2,717
DYNC2LI1,51626
C3,718
SNORA5A,654319
C5,727
C6,729
C7,730
C9,735
SNORA58,677836
SNORA56,677835
SNORA57,692158
SNORA54,677833
SNORA55,677834
LEMD1-DT,284577
SNORA52,619565
SNORA53,677832
SNORA51,677831
SEMA6A-AS1,101927233
SEMA6A-AS2,105379132
CP,1356
CS,1431
SNORA49,677829
SNORA47,677828
SNORA48,652965
SNORA46,677827
SNORA44,677825
SNORA41,619569
DMRTC1B,728656
SNORA84,100124534
SNORA81,677847
LRSAM1,90678
DCAF13P3,100132724
RPLP1,6176
RPLP0,6175
QPRT,23475
ECSIT,51295
SNORA7B,677797
SNORA7A,619563
RPLP2,6181
SNORA78,677844
SNORA79,677845
SNORA77,677843
SNORA75,654321
SNORA72,26775
SNORA70,26778
ACTL6B,51412
ACTL6A,86
SIRT4,23409
SIRT5,23408
SIRT6,51548
SIRT7,51547
F2,2147
BIVM-ERCC5,100533467
SIRT1,23411
F3,2152
SIRT2,22933
SIRT3,23410
F5,2153
F7,2155
F8,2157
BDH2,56898
F9,2158
BDH1,622
CDC42EP5,148170
CDC42EP4,23580
TGIF2LX,90316
CDC42EP3,10602
TGIF2LY,90655
SNORA69,26779
CDC42EP2,10435
CDC42EP1,11135
SNORA67,26781
SNORA68,26780
SNORA65,26783
SNORA66,26782
DLD,1738
SNORA63,6043
MDFI,4188
SNORA64,26784
FH,2271
ARL14EPL,644100
CCNDBP1,23582
SNORA9B,109616977
HLA-DMA,3108
HLA-DMB,3109
DMD,1756
CSMD3,114788
SNORA98,106635530
CSMD2,114784
GC,2638
SNORA99,106635531
CSMD1,64478
SNORA94,106635528
SNORA95,106635529
SNORA92,106635525
SNORA93,106635526
SNORA90,106635523
MDH1,4190
GK,2710
SNORA91,106635524
MDH2,4191
HNRNPUL2-BSCL2,100534595
RPL31P11,641311
TTLL7,79739
TTLL6,284076
TTLL5,23093
TTLL4,9654
TTLL3,26140
TTLL2,83887
TTLL1,25809
LOC103352541,103352541
SNORA89,106635522
GGT3P,2679
SNORA87,106635520
SNORA88,106635521
TTLL9,164395
SNORA86,106633814
TTLL8,164714
EEF1AKMT4-ECE2,110599583
IFNA22P,3453
HP,3240
HR,55806
HPGDS,27306
PABPC4L,132430
HLA-DOA,3111
HLA-DOB,3112
IK,3550
VPS33A,65082
VPS33B,26276
PIGBOS1,101928527
NSMAF,8439
EXOSC10-AS1,105376736
ECSCR,641700
DPT,1805
MDN1,23195
NOP53-AS1,106144593
KL,9365
DR1,1810
BDNF,627
KY,339855
SNORA80C,109616959
ZC3HC1,51530
SNORA80D,109616999
SNORA80E,677823
MFSD4A-AS1,284578
MDM2,4193
HLA-DRA,3122
MDM4,4194
SNORA80A,677846
SNORA80B,100302743
MDM1,56890
SH2D4A,63898
SH2D4B,387694
GGT8P,645367
MIR4662A,100616221
MIR4662B,100616255
MAGOH2P,100506898
LOC102724738,102724738
MB,4151
DSE,29940
MDP1,145553
SPG11,80208
DSP,1832
DST,667
SH2D3A,10045
SH2D3C,10044
VPS37C,55048
VPS37D,155382
VPS37A,137492
VPS37B,79720
BDP1,55814
DTL,51514
OSTM1-AS1,100287366
RNFT2,84900
COL15A1,1306
HSD17B14,51171
HSD17B13,345275
HSD17B12,51144
HSD17B11,51170
HSD17B10,3028
RNFT1,51136
SLITRK2,84631
SLITRK1,114798
SLITRK4,139065
SLITRK3,22865
SLITRK6,84189
SLITRK5,26050
LINGO2,158038
LINGO1,84894
LINGO4,339398
DUT,1854
LINGO3,645191
LOC102724760,102724760
PC,5091
PABPC1L,80336
MDGA2,161357
MDGA1,266727
SPG21,51324
VPS35L,57020
DHFR2,200895
RETREG3,162427
RGSL1,353299
TXNDC11,51061
TXNDC12,51060
TXNDC15,79770
TXNDC16,57544
TXNDC17,84817
SLC34A3,142680
SLC34A2,10568
SLC34A1,6569
TIMD4,91937
MDS2,259283
OR5E1P,26343
DXO,1797
LOC100506730,100506730
TMEM72-AS1,220980
EPHA10,284656
KIF9-AS1,285352
MST1R,4486
MST1L,11223
OSGEP,55644
LOC102724710,102724710
SI,6476
SWI5,375757
DYM,54808
LOC102724719,102724719
HSPC324,101928612
NSMCE1-DT,400512
LOC102724720,102724720
LOC102724728,102724728
TF,7018
TG,7038
TH,7054
HDHD5-AS1,100130717
EPCAM-DT,101927043
RETREG2,79137
RETREG1,54463
PCSK2,5126
PCSK1,5122
SLC7A14,57709
PCSK9,255738
SLC7A13,157724
PCSK7,9159
SLC7A11,23657
PCSK6,5046
SLC7A10,56301
PCSK5,5125
CLYBL,171425
PCSK4,54760
GNGT1,2792
GNGT2,2793
HYAL1,3373
HYAL2,8692
HYAL3,8372
HYAL4,23553
L3HYPDH,112849
THUMPD3-AS1,440944
G2E3,55632
IGHMBP2,3508
ALS2CL,259173
PLEKHG4B,153478
NDUFA6-DT,100132273
MIR99AHG,388815
LOC497256,497256
XG,7499
LOC100506790,100506790
XK,7504
GLB1L,79411
THEMIS2,9473
LBX2-AS1,151534
LOC101927604,101927604
ATP11AUN,400165
PAMR1,25891
PLCG1-AS1,101927117
DKC1,1736
LOC101927623,101927623
ZNF337-AS1,102724826
HCAR2,338442
HCAR3,8843
EBP,10682
HCAR1,27198
CASP1P2,440067
CARNMT1-AS1,101927380
LOC101927636,101927636
ECD,11319
PHOX2B,8929
PHOX2A,401
STT3A,3703
STT3B,201595
ACTL10,170487
EDA,1896
MEA1,4201
RGPD4-AS1,729121
SNORA79B,109616976
EED,8726
LOC101927657,101927657
DARS2,55157
DARS1,1615
LOC101927668,101927668
ACVR1B,91
LOC101927661,101927661
ACVR1C,130399
EFS,10278
MDH1B,130752
EGF,1950
SWT1,54823
ACVR2B,93
ACVR2A,92
INAFM2,100505573
INAFM1,255783
MIR6086,102466519
RPL30,6156
EHF,26298
MIR6084,102464833
MIR6085,102464834
RPL32,6161
TMEM200B,399474
MIR6082,102466953
RPL31,6160
ZNF561-AS1,284385
TMEM200A,114801
MIR6083,102464832
RPL34,6164
MIR6080,102464831
TMEM200C,645369
MIR6081,102466518
ABCA12,26154
ABCA13,154664
GPR174,84636
ASB9P1,728619
GPR173,54328
GPR176,11245
GPR171,29909
RPL36,25873
RPL35,11224
ADNP2,22850
SNORA73A,6080
RPL38,6169
SNORA73B,26768
RPL37,6167
ANKS1A,23294
RPL39,6170
MIR6088,102464836
GPR179,440435
ANKS1B,56899
MIR6089,102464837
MIR6075,102466103
MIR6076,102464828
MED1,5469
MIR6073,102464826
MIR6074,102464827
MECR,51102
RPL21,6144
MIR6071,102466516
MIR6072,102465944
RPL23,9349
RPL22,6146
MIR6070,102464825
MED8,112950
MED9,55090
AARSD1,80755
MED4,29079
MED6,10001
MED7,9443
GET1-SH3BGR,106865373
GPR162,27239
ABCA10,10349
LOC105376731,105376731
GPR161,23432
GPR160,26996
SNORA74A,26821
RPL24,6152
SNORA74B,677841
RPL27,6155
RPL26,6154
SNORA74D,109616975
RPL29,6159
MIR6079,102464830
RPL28,6158
MIR6077,102466225
GPLD1,2822
MIR6078,102464829
OSER1,51526
MEG3,55384
VPS26C,10311
VPS26A,9559
VPS26B,112936
MEFV,4210
SNORD111B,100113402
MEG8,79104
MEG9,100507257
OCSTAMP,128506
SNORA75B,109616994
MIR6068,102464823
MIR6069,102464824
KATNBL1P6,729176
RPL41,6171
SNORA77B,109617010
SLC16A12,387700
SLC16A11,162515
PRRC2C,23215
SLC16A10,117247
SLC16A14,151473
RPL3L,6123
PRRC2B,84726
SLC16A13,201232
PRRC2A,7916
MIR3936HG,553103
GPR180,160897
GPR183,1880
GPR182,11318
FRMPD2B,728798
SPEF2,79925
SPEF1,25876
ELL,8178
MEI1,150365
ELN,2006
MEI4,101928601
LOC103171574,103171574
PCOLCE-AS1,100129845
GPR132,29933
LOC100288069,100288069
ZAR1L,646799
GPR137,56834
GPR139,124274
EMB,133418
EMD,2010
GPR135,64582
ZC3H10,84872
EN2,2020
EN1,2019
LOC644936,644936
SNORA70D,100379141
SNORA70E,100379250
GCFC2,6936
SNORA70F,100337591
AFTPH,54812
CHIAP2,149620
SNORA70G,100379132
SNORA70H,109616993
SNORA70I,109617008
SNORA70J,109616973
SNORA70B,100124537
PCYOX1,51449
SNORA70C,100124538
ENG,2022
RPL10,6134
RPL12,6136
RPL11,6135
SNORA71E,677821
GPR152,390212
GPR151,134391
GPR153,387509
GPR150,285601
LIMD1-AS1,644714
RPL14,9045
RPL13,6137
RPL15,6138
SNORA71A,26777
RPL18,6141
GPR156,165829
SNORA71B,26776
RPL17,6139
GPR155,151556
SNORA71C,677839
GPR158,57512
SNORA71D,677840
RPL19,6143
GPR157,80045
F10,2159
F12,2161
F11,2160
CERNA2,642934
CERNA1,100129973
MIR6090,102466104
NMNAT3,349565
NMNAT2,23057
GPR141,353345
GPR143,4935
GPR142,350383
NMNAT1,64802
CERNA3,105375847
MSRB2,22921
GPR149,344758
MSRB3,253827
KRT8P41,283102
GPR148,344561
ANKS4B,257629
MSRB1,51734
GPR146,115330
COL16A1,1307
EPO,2056
EPX,8288
LRP1-AS,105751187
VSTM2A-OT1,285878
MEN1,4221
RNF43,54894
RNF44,22838
F2R,2149
SNORD114-11,767589
SNORD114-10,767588
RNF40,9810
RNF41,10193
MELK,9833
GAPDHS,26330
ERF,2077
ERH,2079
ERG,2078
PAUPAR,103157000
ABHD4,63874
C3ORF70,285382
ABHD3,171586
GPR119,139760
ABHD2,11057
ABHD1,84696
ABHD8,79575
ABHD6,57406
ABHD5,51099
MACROH2A2,55506
MACROH2A1,9555
NCK1-DT,101927597
STRA8,346673
OARD1,221443
ESD,2098
CAMTA1-AS2,102725193
STRA6,64220
LAMC1-AS1,110841583
C3ORF80,401097
GPR108,56927
C3ORF84,646498
PALB2,79728
TDRD12,91646
C3ORF85,401081
TDRD10,126668
GPR107,57720
GPR101,83550
TDRD15,100129278
RNF10,9921
CALCOCO1,57658
RNF11,26994
SFT2D3,84826
RNF13,11342
CALCOCO2,10241
RNF14,9604
ADRA1D,146
TREM2,54209
ADRA1B,147
ADRA1A,148
TREM1,54210
RPL7A,6130
FKBP9P1,360132
RNF17,56163
C3ORF52,79669
PDCD6IP,10015
C3ORF62,375341
MEPE,56955
ADRA2C,152
RANGAP1,5905
ADRA2B,151
ADRA2A,150
COASY,80347
EVC,2121
LOC642361,642361
IL3RA,3563
SPEM3,107983988
SPEM2,201243
EVL,51466
SPEM1,374768
SFT2D2,375035
SFT2D1,113402
SSX2IP,117178
RNF31,55072
SMARCD1,6602
RNF32,140545
SMARCD2,6603
SMARCD3,6604
RNF34,80196
RNF38,152006
SNORD114-20,767598
ITLN1,55600
MAP3K20-AS1,339751
ITLN2,142683
SNORD114-22,767600
LOC102724874,102724874
SNORD114-21,767599
MESD,23184
SNORD114-17,767595
C3ORF38,285237
SNORD114-16,767594
SNORD114-19,767597
SNORD114-18,767596
SNORD114-13,767591
PUF60,22827
SNORD114-12,767590
SNORD114-15,767593
SNORD114-14,767592
RNF39,80352
C3ORF33,285315
MEST,4232
C3ORF36,80111
SMARCE1,6605
RNF20,56254
RNF24,11237
RNF25,64320
RNF26,79102
SNORD114-31,767612
SNORD114-30,767611
PNRC1,10957
PNRC2,55629
SNORD114-28,767609
C3ORF49,132200
SNORD114-27,767608
SNORD114-29,767610
SNORD114-24,767604
SNORD114-23,767603
SNORD114-26,767606
SNORD114-25,767605
TRMT61A,115708
TRMT61B,55006
BET1,10282
GEMIN8P4,492303
POT1-AS1,401398
STIM2-AS1,105374546
C3ORF18,51161
RNVU1-20,101954268
EYS,346007
C3ORF14,57415
MIR320B1,100302117
MIR320B2,100313769
RNVU1-2A,6063
AFG3L2,10939
COX7A2L,9167
LOC727751,727751
AKAP9,10142
C3ORF20,84077
RELCH,57614
C3ORF22,152065
ANKRA2,57763
EZR,7430
BEX4,56271
BEX3,27018
GPM6A,2823
BEX2,84707
BEX1,55859
NHLH2,4808
PVRIG2P,101752334
GNG10,2790
NHLH1,4807
MIR320D1,100313896
MIR320D2,100302169
BTN2A3P,54718
GPM6B,2824
TREX1,11277
LOC100506639,100506639
SLC33A1,9197
TREX2,11219
IGFL2,147920
IGFL3,388555
IGFL1,374918
GNG12,55970
GNG11,2791
GNG14,105372280
GNG13,51764
RNVU1-15,101954267
SRGAP2-AS1,100873165
RNVU1-14,101954266
LOC102724849,102724849
CDAN1,146059
RNVU1-19,101954277
LOC102724843,102724843
RNVU1-18,26863
RNVU1-17,101954269
IGFL4,444882
MEIS3P1,4213
MIR320C1,100302135
ITM2A,9452
RAB40AL,282808
MIR320C2,100302195
ITM2B,9445
BEX5,340542
ITM2C,81618
ACVRL1,94
OLA1,29789
QRFP,347148
SNRK-AS1,100873954
ANKRD9,122416
EPM2AIP1,9852
GLIPR1,11010
SNORD109B,338429
GLIPR2,152007
SNORD109A,338428
CPB2-AS1,100509894
ANKRD1,27063
TNFAIP8L1,126282
GNPNAT1,64841
TNFAIP8L3,388121
DLAT,1737
ANKRD2,26287
TNFAIP8L2,79626
ANKRD7,56311
RSPRY1,89970
ANKRD6,22881
AVPR1B,553
STRBP,55342
AVPR1A,552
MSANTD3-TMEFF1,100526694
MSS51,118490
IGFN1,91156
MKLN1-AS,100506881
PALD1,27143
RPUSD4,84881
MDFIC,29969
RPUSD1,113000
